Architecture/PV (kW),Architecture/G1500,Architecture/1kWh LA,Architecture/Grid (kW),Architecture/Electrolyzer (kW),Architecture/HTank (kg),Architecture/Converter (kW),Architecture/Dispatch,Cost/NPC ($),Cost/COE ($),Cost/Operating cost ($/yr),Cost/Initial capital ($),System/Ren Frac (%),System/Total Fuel (L/yr),PV/Capital Cost ($),PV/Production (kWh/yr),G1500/Capital Cost ($),G1500/Production (kWh/yr),G1500/O&M Cost ($),1kWh LA/Autonomy (hr),1kWh LA/Annual Throughput (kWh/yr),1kWh LA/Nominal Capacity (kWh),1kWh LA/Usable Nominal Capacity (kWh),Converter/Rectifier Mean Output (kW),Converter/Inverter Mean Output (kW),Grid/Energy Purchased (kWh),Grid/Energy Sold (kWh)
50000,394,5300000,999999,400000,300000,590000,CC,7.98E+09,6.12655,1.57E+08,5.95E+09,98.00235,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,165698.4,285.7088,2013002,9.20E+07
50000,394,5300000,999999,400000,400000,590000,LF,8.29E+09,6.740778,1.58E+08,6.25E+09,99.18954,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,166163.8,272.4463,770897.1,8.64E+07
50000,394,5300000,999999,400000,400000,590000,CC,8.29E+09,6.687152,1.58E+08,6.25E+09,97.90086,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,166214.1,272.4463,2013002,8.71E+07
50000,394,5300000,999999,400000,500000,590000,LF,8.60E+09,7.370316,1.58E+08,6.55E+09,99.14571,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,166688.7,267.8545,770897.1,8.15E+07
50000,394,5300000,999999,400000,500000,590000,CC,8.60E+09,7.308432,1.58E+08,6.55E+09,97.7883,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,166739,267.8545,2013002,8.23E+07
50000,394,5300000,999999,400000,600000,590000,LF,8.91E+09,8.072194,1.59E+08,6.85E+09,99.09682,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,167217.8,267.1709,770897.1,7.66E+07
50000,394,5300000,999999,400000,600000,590000,CC,8.91E+09,8.000461,1.59E+08,6.85E+09,97.66289,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,167268.1,267.1709,2013002,7.74E+07
50000,394,5300000,999999,400000,700000,590000,LF,9.22E+09,8.858148,1.60E+08,7.15E+09,99.04212,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,167735.5,255.7339,770897.1,7.17E+07
50000,394,5300000,999999,400000,700000,590000,CC,9.22E+09,8.774585,1.60E+08,7.15E+09,97.5227,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,167785.8,255.7339,2013002,7.25E+07
50000,394,5300000,999999,400000,800000,590000,LF,9.53E+09,9.746945,1.60E+08,7.45E+09,98.98032,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,168257,247.9944,770897.1,6.68E+07
50000,394,5300000,999999,400000,800000,590000,CC,9.53E+09,9.648992,1.61E+08,7.45E+09,97.36451,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,168307.4,247.9944,2013002,6.76E+07
50000,394,5300000,999999,400000,900000,590000,LF,9.84E+09,10.76244,1.61E+08,7.75E+09,98.90999,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,168779.7,241.2778,770897.1,6.20E+07
50000,394,5300000,999999,400000,900000,590000,CC,9.84E+09,10.64675,1.62E+08,7.75E+09,97.18469,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,168830,241.2778,2013002,6.27E+07
50000,394,5300000,999999,400000,1000000,590000,LF,1.02E+10,11.92826,1.63E+08,8.05E+09,98.82925,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,169301.5,233.7214,770897.1,5.71E+07
50000,394,5300000,999999,400000,1000000,590000,CC,1.02E+10,11.79049,1.63E+08,8.05E+09,96.97858,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,169351.8,233.7214,2013002,5.79E+07
50000,394,5300000,999999,400000,2000000,590000,LF,1.33E+10,60.26575,1.73E+08,1.11E+10,95.48126,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,174530.8,169.014,770897.1,8300028
50000,394,5300000,999999,400000,2000000,590000,CC,1.33E+10,57.64264,1.73E+08,1.11E+10,88.71519,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,174581.1,169.014,2013002,9078151
